"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"HNF4G",-1.12407369103808,9.39508171724178,-3.6100753865705,0.000389302605877635,0.00170412672579441,-0.442551884405988,"Downregulated"
"NR1H4",-1.4890414685854,6.48249489318981,-3.59993112331111,0.000403814471514012,0.00175840206104663,-0.476444191997947,"Downregulated"
"MIR215",-1.46725778866453,6.11697640210339,-3.59712173011086,0.00040792260003265,0.00177590366457109,-0.485815741432021,"Downregulated"
"PLB1",-1.41921855330444,7.46125968235349,-3.57861875353842,0.000435977737522081,0.00188367279456328,-0.547378086223352,"Downregulated"
"XPNPEP2",-2.03104032189124,8.78381651392377,-3.52321793915996,0.000531221990551755,0.00221933236546345,-0.730042359541475,"Downregulated"
"SLC13A2",-1.38901291289375,8.70736424903826,-3.52200726081553,0.000533506730454635,0.00222654898330566,-0.734006220678905,"Downregulated"
"MAOB",-1.26943228627958,7.48609319902221,-3.49348147405155,0.000590084826618733,0.00242268331487823,-0.827055445978025,"Downregulated"
"CPO",-1.79956620375326,6.2144453205194,-3.47458590784017,0.000630610693714317,0.00256064606551123,-0.888324797883373,"Downregulated"
"SUSD2",-1.25134703419819,8.20664923439911,-3.46614601677881,0.000649542426878993,0.00262259155740469,-0.91559674576656,"Downregulated"
"CREB3L3",-1.86271733053285,8.62377395184784,-3.4617241527428,0.00065967259743714,0.00265811992358471,-0.92986183218308,"Downregulated"
"CA7",-1.02578082777809,7.9872594591932,-3.45566891847181,0.000673785026562941,0.00270310888969321,-0.949370163377807,"Downregulated"
"MIR194-1",-1.22597447656843,6.10689563296592,-3.43546003027733,0.000722958076409069,0.00286970680011819,-1.01425945080406,"Downregulated"
"GBA3",-1.783533480427,7.6990975843662,-3.42170990045571,0.00075831468047065,0.00299280328546152,-1.05821781021273,"Downregulated"
"SLC6A19",-1.95125207508754,9.01460934442407,-3.40619849840866,0.000800139595225006,0.00313679848381242,-1.1076195843814,"Downregulated"
"SLC6A4",-1.74682501768118,7.29222503748078,-3.40189115336039,0.00081213101594737,0.00317508414807844,-1.12130264869614,"Downregulated"
"SLC5A12",-2.06356984642727,7.39256899073509,-3.39805275883701,0.000822958287667805,0.00321038920050989,-1.13348308023608,"Downregulated"
"CYP3A4",-2.40857090366234,7.40878246208263,-3.35709071285506,0.000947216726629502,0.00362365808496018,-1.26270854397743,"Downregulated"
"MS4A10",-2.1022359007976,7.18006074210719,-3.35477533807455,0.000954738706996098,0.00364905299149255,-1.26997143279784,"Downregulated"
"HEPACAM2",-1.04523862640963,9.53402261177123,-3.26820404120469,0.00127945033728122,0.00469429482675515,-1.53832280501861,"Downregulated"
"DPP4",-1.04949835508887,10.0913078055175,-3.24688713460764,0.00137385063290027,0.00498660594976375,-1.60343850703316,"Downregulated"
"SULT2A1",-1.29864039145966,5.64503411621953,-3.22261105611981,0.00148922055178492,0.00534417738076751,-1.67712847150214,"Downregulated"
